unique_id,category,variation,filename paste,file,inches,inch_variance,radius_max,servings_min,servings_max,scale_min,scale_max,rotate_min,rotate_max,center_x,center_y,pie_count
5521,topping-nut,peanuts,5521-topping-nut-peanuts,Y,1,,,,,,,,,,,
5522,topping-nut,peanuts,5522-topping-nut-peanuts,Y,1,,,,,,,,,,,
5530,topping-nut,pecans,5530-topping-nut-pecans,N,0.75,,,,,,,,,,,
5600,topping-vegetable,leek,5600-topping-vegetable-leek,Y,9,,,,,,,,,,,
5610,topping-vegetable,vegansausage,5610-topping-vegetable-vegansausage,Y,5,,,,,,,,,,,
5611,topping-vegetable,vegansausage,5611-topping-vegetable-vegansausage,Y,5,,,,,,,,,,,
5612,topping-vegetable,vegansausage,5612-topping-vegetable-vegansausage,Y,5,,,,,,,,,,,
5613,topping-vegetable,vegansausage,5613-topping-vegetable-vegansausage,Y,5,,,,,,,,,,,
5614,topping-vegetable,vegansausage,5614-topping-vegetable-vegansausage,Y,5,,,,,,,,,,,
5620,topping-vegetable,cactus,5620-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5621,topping-vegetable,cactus,5621-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5622,topping-vegetable,cactus,5622-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5623,topping-vegetable,cactus,5623-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5624,topping-vegetable,cactus,5624-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5625,topping-vegetable,cactus,5625-topping-vegetable-cactus,Y,4,,,,,,,,,,,
5630,topping-vegetable,eggplant,5630-topping-vegetable-eggplant,N,,,,,,,,,,,,
5640,topping-vegetable,edamame,5640-topping-vegetable-edamame,Y,0.5,,,,,,,,,,,
5641,topping-vegetable,edamame,5641-topping-vegetable-edamame,Y,0.5,,,,,,,,,,,
5650,topping-vegetable,tofu,5650-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5651,topping-vegetable,tofu,5651-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5652,topping-vegetable,tofu,5652-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5653,topping-vegetable,tofu,5653-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5654,topping-vegetable,tofu,5654-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5655,topping-vegetable,tofu,5655-topping-vegetable-tofu,Y,1,,,,,,,,,,,
5660,topping-vegetable,spinach,5660-topping-vegetable-spinach,Y,2,3,4,2,3,,,,,,,
5661,topping-vegetable,spinach,5661-topping-vegetable-spinach,Y,2,3,4,2,3,,,,,,,
5662,topping-vegetable,spinach,5662-topping-vegetable-spinach,Y,2,3,4,2,3,,,,,,,
5663,topping-vegetable,spinach,5663-topping-vegetable-spinach,Y,2.5,3.5,4.5,2,3,,,,,,,
5664,topping-vegetable,spinach,5664-topping-vegetable-spinach,Y,2.5,3.5,4.5,2,3,,,,,,,
5665,topping-vegetable,spinach,5665-topping-vegetable-spinach,Y,3,4,4.5,2,3,,,,,,,
5670,topping-vegetable,pickles,5670-topping-vegetable-pickles,Y,1.5,,,,,,,,,,,
5671,topping-vegetable,pickles,5671-topping-vegetable-pickles,Y,1.5,,,,,,,,,,,
5672,topping-vegetable,pickles,5672-topping-vegetable-pickles,Y,5,,,,,,,,,,,
5673,topping-vegetable,pickles,5673-topping-vegetable-pickles,Y,5,,,,,,,,,,,
5680,topping-vegetable,bamboo,5680-topping-vegetable-bamboo,Y,5,,,,,,,,,,,
5681,topping-vegetable,bamboo,5681-topping-vegetable-bamboo,Y,5,,,,,,,,,,,
5682,topping-vegetable,bamboo,5682-topping-vegetable-bamboo,Y,5,,,,,,,,,,,
5683,topping-vegetable,bamboo,5683-topping-vegetable-bamboo,Y,5,,,,,,,,,,,
5684,topping-vegetable,bamboo,5684-topping-vegetable-bamboo,Y,5,,,,,,,,,,,
5690,topping-vegetable,rosemary,5690-topping-vegetable-rosemary,Y,4,,,,,,,,,,,
5691,topping-vegetable,rosemary,5691-topping-vegetable-rosemary,Y,1,,,,,,,,,,,
5692,topping-vegetable,rosemary,5692-topping-vegetable-rosemary,Y,4,,,,,,,,,,,
5693,topping-vegetable,rosemary,5693-topping-vegetable-rosemary,Y,1,,,,,,,,,,,
5694,topping-vegetable,rosemary,5694-topping-vegetable-rosemary,Y,1,,,,,,,,,,,
5695,topping-vegetable,rosemary,5695-topping-vegetable-rosemary,Y,1,,,,,,,,,,,
5700,topping-vegetable,shadowplant,5700-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5701,topping-vegetable,shadowplant,5701-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5702,topping-vegetable,shadowplant,5702-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5703,topping-vegetable,shadowplant,5703-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5704,topping-vegetable,shadowplant,5704-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5705,topping-vegetable,shadowplant,5705-topping-vegetable-shadowplant,Y,5,,,,,,,,,,,
5710,topping-vegetable,redonion,5710-topping-vegetable-redonion,Y,,,,,,,,,,,,
5711,topping-vegetable,redonion,5711-topping-vegetable-redonion,Y,,,,,,,,,,,,
5712,topping-vegetable,redonion,5712-topping-vegetable-redonion,Y,,,,,,,,,,,,
5713,topping-vegetable,redonion,5713-topping-vegetable-redonion,Y,,,,,,,,,,,,
5714,topping-vegetable,redonion,5714-topping-vegetable-redonion,Y,,,,,,,,,,,,
5715,topping-vegetable,redonion,5715-topping-vegetable-redonion,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6000,topping-seafood,shrimp,6000-topping-seafood-shrimp,Y,2.25,,,,,,,,,,,100
6001,topping-seafood,shrimp,6001-topping-seafood-shrimp,Y,2.5,,,,,,,,,,,50
6002,topping-seafood,shrimp,6002-topping-seafood-shrimp,Y,2.375,,,,,,,,,,,50
6003,topping-seafood,shrimp,6003-topping-seafood-shrimp,Y,2.4,,,,,,,,,,,30
6004,topping-seafood,shrimp,6004-topping-seafood-shrimp,Y,2.25,,,,,,,,,,,100
6010,topping-seafood,anchovies,6010-topping-seafood-anchovies,Y,3.5,,,,,,,,,,,
6011,topping-seafood,anchovies,6011-topping-seafood-anchovies,Y,3.5,,,,,,,,,,,
6020,topping-seafood,lobster,6020-topping-seafood-lobster,Y,3,0.15,,,,,,,,,,30
6021,topping-seafood,lobster,6021-topping-seafood-lobster,Y,8.5,0.5,,,,,,,,,,10
6030,topping-seafood,scallop,6030-topping-seafood-scallop,Y,1.75,0.25,,,,,,,,,,
6031,topping-seafood,scallop,6031-topping-seafood-scallop,Y,1.75,0.25,,,,,,,,,,
6040,topping-seafood,salmon,6040-topping-seafood-salmon,Y,4.5,0.1,,,,,,,,,,
6041,topping-seafood,salmon,6041-topping-seafood-salmon,Y,4.5,,,,,,,,,,,
6042,topping-seafood,salmon,6042-topping-seafood-salmon,Y,4.5,,,,,,,,,,,
6050,topping-seafood,sardine,6050-topping-seafood-sardine,Y,4,,,,,,,,,,,
6051,topping-seafood,sardine,6051-topping-seafood-sardine,Y,4,,,,,,,,,,,
6060,topping-seafood,smokedsalmon,6060-topping-seafood-smokedsalmon,N,,,,,,,,,,,,
6070,topping-seafood,calamari,6070-topping-seafood-calamari,N,,,,,,,,,,,,
6080,topping-seafood,cthulhu,6080-topping-seafood-cthulhu,Y,9,,,,,,,,,,,
6090,topping-seafood,poke,6090-topping-seafood-poke,Y,4,,,,,,,,,,,
6091,topping-seafood,poke,6091-topping-seafood-poke,Y,4,,,,,,,,,,,
6092,topping-seafood,poke,6092-topping-seafood-poke,Y,4,,,,,,,,,,,
6093,topping-seafood,poke,6093-topping-seafood-poke,Y,4,,,,,,,,,,,
6094,topping-seafood,poke,6094-topping-seafood-poke,Y,4,,,,,,,,,,,
6095,topping-seafood,poke,6095-topping-seafood-poke,Y,4,,,,,,,,,,,
6100,topping-seafood,octopus,6100-topping-seafood-octopus,Y,3,,,,,,,,,,,
6110,topping-seafood,oysters,6110-topping-seafood-oysters,Y,3,,,,,,,,,,,
6111,topping-seafood,oysters,6111-topping-seafood-oysters,Y,3,,,,,,,,,,,
6120,topping-seafood,endangered,6120-topping-seafood-endangered,Y,2,,,,,,,,,,,
